Free Fallin',['Tom Petty'],0.623,0.449,0.0613,0.212,0.572,84.383,1989
Ain't No Sunshine,['Bill Withers'],0.527,0.415,0.117,0.457,0.515,78.169,1971
Imagine - Remastered 2010,['John Lennon'],0.547,0.257,0.0935,0.907,0.169,75.752,1971
Stairway to Heaven - Remaster,['Led Zeppelin'],0.338,0.34,0.116,0.58,0.197,82.433,1971
Take It Easy - 2013 Remaster,['Eagles'],0.575,0.67,0.129,0.343,0.74,139.191,1972
Everywhere - 2017 Remaster,['Fleetwood Mac'],0.73,0.487,0.0852,0.258,0.731,114.965,1987
Can't Help Falling in Love,['Elvis Presley'],0.396,0.293,0.105,0.941,0.343,100.307,1961
Let It Be - Remastered 2009,['The Beatles'],0.443,0.403,0.111,0.631,0.41,143.462,1970
Signed Sealed Delivered (I'm Yours),['Stevie Wonder'],0.675,0.597,0.0986,0.0534,0.828,108.875,1970
Gimme! Gimme! Gimme! (A Man After Midnight),['ABBA'],0.749,0.491,0.159,0.02,0.536,119.528,1979
Have You Ever Seen The Rain,['Creedence Clearwater Revival'],0.741,0.697,0.133,0.0664,0.774,116.109,1970
Stand by Me,['Ben E. King'],0.65,0.306,0.0707,0.57,0.605,118.068,1962
Fast Car,['Tracy Chapman'],0.711,0.292,0.131,0.313,0.194,103.951,1988
Bad Moon Rising,['Creedence Clearwater Revival'],0.508,0.774,0.063,0.0586,0.942,178.946,1969
Sweet Caroline,['Neil Diamond'],0.529,0.127,0.237,0.611,0.578,63.05,1969
Come Together - Remastered 2009,['The Beatles'],0.533,0.376,0.0926,0.0302,0.187,165.007,1969
Dream On,['Aerosmith'],0.307,0.433,0.332,0.388,0.224,160.9,1973
T.N.T.,['AC/DC'],0.754,0.759,0.101,0.153,0.435,126.366,1976
All Along the Watchtower,['Jimi Hendrix'],0.438,0.805,0.0842,0.00255,0.564,113.253,1968
Girls Just Want to Have Fun,['Cyndi Lauper'],0.71,0.799,0.349,0.22,0.725,120.372,1983
Could You Be Loved,['Bob Marley & The Wailers'],0.916,0.72,0.0958,0.36,0.76,103.312,1980
(I Can't Get No) Satisfaction - Mono Version,['The Rolling Stones'],0.723,0.863,0.128,0.0383,0.931,136.302,1965
9 to 5,['Dolly Parton'],0.554,0.783,0.631,0.416,0.813,105.39,1980
Smooth Criminal - 2012 Remaster,['Michael Jackson'],0.853,0.981,0.306,0.247,0.595,118.193,1987
Welcome To The Jungle,"[""Guns N' Roses""]",0.447,0.954,0.298,0.0235,0.331,123.453,1987
Dust in the Wind,['Kansas'],0.475,0.322,0.11,0.367,0.387,93.503,1977
In The Air Tonight - 2015 Remastered,['Phil Collins'],0.446,0.239,0.0697,0.551,0.298,189.507,1981
Whole Lotta Love - 1990 Remaster,['Led Zeppelin'],0.412,0.902,0.405,0.0484,0.422,89.74,1969
Where Is My Mind? - Remastered,['Pixies'],0.519,0.441,0.076,0.0204,0.25,81.334,1988
Paranoid,['Black Sabbath'],0.429,0.631,0.175,7.85E-05,0.376,162.734,1970
Hold the Line,['TOTO'],0.473,0.898,0.173,0.00783,0.808,96.556,1978
