Wants and Needs (feat. Lil Baby),"['Drake', 'Lil Baby']",0.578,0.449,0.119,0.0618,0.1,136.006,2021
Life Goes On,['BTS'],0.566,0.716,0.37,0.00691,0.45,81.068,2020
Heather,['Conan Gray'],0.357,0.425,0.322,0.584,0.27,102.078,2020
Whoopty,['CJ'],0.719,0.648,0.127,0.2,0.66,140.201,2020
GIRL LIKE ME,"['Black Eyed Peas', 'Shakira']",0.965,0.485,0.0655,0.0206,0.312,124.025,2020
lovely (with Khalid),"['Billie Eilish', 'Khalid']",0.351,0.296,0.095,0.934,0.12,115.284,2018
For The Night (feat. Lil Baby & DaBaby),"['Pop Smoke', 'Lil Baby', 'DaBaby']",0.823,0.586,0.193,0.114,0.347,125.971,2020
HOLIDAY,['Lil Nas X'],0.81,0.511,0.0832,0.12,0.837,151.947,2020
La Nota,"['Manuel Turizo', 'Rauw Alejandro', 'Myke Towers']",0.736,0.632,0.349,0.18,0.503,92.03,2020
Goosebumps,['HVME'],0.767,0.659,0.13,0.325,0.439,124.946,2020
death bed (coffee for your head),"['Powfu', 'beabadoobee']",0.726,0.431,0.696,0.731,0.348,144.026,2020
RAPSTAR,['Polo G'],0.789,0.536,0.129,0.41,0.437,81.039,2021
goosebumps,['Travis Scott'],0.841,0.728,0.149,0.0847,0.43,130.049,2016
Hold On,['Justin Bieber'],0.658,0.634,0.12,0.0104,0.302,140.002,2021
Laugh Now Cry Later (feat. Lil Durk),"['Drake', 'Lil Durk']",0.761,0.518,0.107,0.244,0.522,133.976,2020
Adore You,['Harry Styles'],0.676,0.771,0.102,0.0237,0.569,99.048,2019
bad guy,['Billie Eilish'],0.701,0.425,0.1,0.328,0.562,135.128,2019
Film out,['BTS'],0.499,0.709,0.331,0.296,0.314,164.032,2021
Believer,['Imagine Dragons'],0.776,0.78,0.081,0.0622,0.666,124.949,2017
No Te Enamores - Remix,"['Milly', 'Farruko', 'Nio Garcia', 'Jay Wheeler', 'Amenazzy']",0.824,0.837,0.271,0.573,0.58,100.021,2020
TE MUDASTE,['Bad Bunny'],0.811,0.637,0.118,0.234,0.471,92.025,2020
Relación - Remix,"['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']",0.793,0.771,0.284,0.0337,0.835,171.943,2020
Afterglow,['Ed Sheeran'],0.641,0.324,0.328,0.698,0.273,110.184,2020
Golden,['Harry Styles'],0.448,0.838,0.131,0.21,0.254,139.863,2019
Dance Monkey,['Tones And I'],0.824,0.588,0.149,0.692,0.513,98.027,2019
Martin & Gina,['Polo G'],0.832,0.534,0.165,0.345,0.116,93.924,2020
Roses - Imanbek Remix,"['SAINt JHN', 'Imanbek']",0.77,0.724,0.353,0.0167,0.898,121.975,2019
The Box,['Roddy Ricch'],0.896,0.586,0.79,0.104,0.642,116.971,2019
Memories,['Maroon 5'],0.764,0.32,0.0822,0.837,0.575,91.019,2019
Lucid Dreams,['Juice WRLD'],0.511,0.566,0.34,0.349,0.218,83.903,2018
Breaking Me,"['Topic', 'A7S']",0.789,0.72,0.129,0.223,0.664,122.031,2019
everything i wanted,['Billie Eilish'],0.704,0.225,0.106,0.902,0.243,120.006,2019
Train Wreck,['James Arthur'],0.311,0.485,0.0726,0.701,0.225,77.355,2016
7 rings,['Ariana Grande'],0.778,0.317,0.0881,0.592,0.327,140.048,2019
Ride It,['Regard'],0.88,0.751,0.106,0.177,0.884,117.948,2019
BED,"['Joel Corry', 'RAYE', 'David Guetta']",0.671,0.782,0.333,0.0142,0.618,123.989,2021
Robbery,['Juice WRLD'],0.685,0.692,0.153,0.328,0.578,159.966,2019
Follow You,['Imagine Dragons'],0.542,0.732,0.496,0.00209,0.489,124.912,2021
Falling,['Harry Styles'],0.567,0.267,0.089,0.839,0.0592,110.011,2019
SICKO MODE,['Travis Scott'],0.834,0.73,0.124,0.00513,0.446,155.008,2018
Say You Won't Let Go,['James Arthur'],0.358,0.557,0.0902,0.695,0.494,85.043,2016
SAD!,['XXXTENTACION'],0.74,0.613,0.123,0.258,0.473,75.023,2018
All Girls Are The Same,['Juice WRLD'],0.671,0.529,0.0856,0.0769,0.203,161.989,2018
Tapão Na Raba,['Raí Saia Rodada'],0.808,0.796,0.155,0.462,0.799,128.048,2021
Take You Dancing,['Jason Derulo'],0.789,0.711,0.0876,0.0332,0.753,112.985,2020
Facas - Ao Vivo,"['Diego & Victor Hugo', 'Bruno & Marrone']",0.443,0.509,0.472,0.615,0.69,160.984,2020
Hello (feat. A Boogie Wit da Hoodie),"['Pop Smoke', 'A Boogie Wit da Hoodie']",0.905,0.647,0.282,0.0187,0.367,130.97,2020
Shape of You,['Ed Sheeran'],0.825,0.652,0.0931,0.581,0.931,95.977,2017
Perfect,['Ed Sheeran'],0.599,0.448,0.106,0.163,0.168,95.05,2017
Jocelyn Flores,['XXXTENTACION'],0.872,0.391,0.297,0.469,0.437,134.021,2017
Cupid's Chokehold / Breakfast in America,['Gym Class Heroes'],0.72,0.744,0.255,0.237,0.619,78.953,2005
Holy (feat. Chance The Rapper),"['Justin Bieber', 'Chance the Rapper']",0.673,0.704,0.0898,0.196,0.372,86.919,2020
UN DIA (ONE DAY) (Feat. Tainy),"['J Balvin', 'Tainy', 'Dua Lipa', 'Bad Bunny']",0.571,0.693,0.173,0.00536,0.393,168.169,2020
Chica Ideal,"['Sebastian Yatra', 'Guaynaa']",0.574,0.891,0.16,0.0847,0.707,100.978,2020
SugarCrash!,['ElyOtto'],0.748,0.734,0.0975,0.524,0.368,97.753,2020
Lemonade,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",0.799,0.66,0.111,0.256,0.471,140.04,2020
Wishing Well,['Juice WRLD'],0.65,0.613,0.267,0.00336,0.0804,149.972,2020
Mi Niña,"['Wisin', 'Myke Towers', 'Los Legendarios']",0.823,0.821,0.143,0.31,0.791,99.999,2020
Lonely (with benny blanco),"['Justin Bieber', 'benny blanco']",0.631,0.239,0.116,0.864,0.0927,79.859,2020
Savage Love (Laxed - Siren Beat),"['Jawsh 685', 'Jason Derulo']",0.767,0.481,0.269,0.234,0.761,150.076,2020
Reloj,"['Rauw Alejandro', 'Anuel AA']",0.823,0.537,0.123,0.176,0.615,175.946,2020
HIGHEST IN THE ROOM,['Travis Scott'],0.598,0.427,0.21,0.0546,0.0605,76.469,2019
Put Your Records On,['Ritt Momney'],0.399,0.491,0.11,0.0563,0.151,91.066,2020
Prisoner (feat. Dua Lipa),"['Miley Cyrus', 'Dua Lipa']",0.781,0.67,0.0761,0.0103,0.595,127.99,2020
All of Me,['John Legend'],0.422,0.264,0.132,0.922,0.331,119.93,2013
Do I Wanna Know?,['Arctic Monkeys'],0.548,0.532,0.217,0.186,0.405,85.03,2013
Una Locura,"['Ozuna', 'J Balvin', 'Chencho Corleone']",0.714,0.761,0.241,0.139,0.906,168.022,2020
The Hills,['The Weeknd'],0.585,0.564,0.135,0.0671,0.137,113.003,2015
Daddy Issues,['The Neighbourhood'],0.588,0.521,0.123,0.0678,0.337,85.012,2015
Stressed Out,['Twenty One Pilots'],0.734,0.637,0.0602,0.0462,0.648,169.977,2015
Yellow,['Coldplay'],0.429,0.661,0.234,0.00239,0.285,173.372,2000
Devil Eyes,['Hippie Sabotage'],0.391,0.396,0.315,0.702,0.199,99.112,2016
Starboy,"['The Weeknd', 'Daft Punk']",0.679,0.587,0.137,0.141,0.486,186.003,2016
Closer,"['The Chainsmokers', 'Halsey']",0.748,0.524,0.111,0.414,0.661,95.01,2016
On The Ground,['ROSÉ'],0.311,0.607,0.131,0.0174,0.286,188.7,2021
The Nights,['Avicii'],0.527,0.835,0.249,0.0166,0.654,125.983,2014
