name,artists,popularity,energy
Chica Ideal,"['Sebastian Yatra', 'Guaynaa']",87,0.891
SugarCrash!,['ElyOtto'],87,0.734
Lemonade,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",87,0.66
Wishing Well,['Juice WRLD'],87,0.613
Mi Niña,"['Wisin', 'Myke Towers', 'Los Legendarios']",87,0.821
Lonely (with benny blanco),"['Justin Bieber', 'benny blanco']",87,0.239
Savage Love (Laxed - Siren Beat),"['Jawsh 685', 'Jason Derulo']",87,0.481
Reloj,"['Rauw Alejandro', 'Anuel AA']",87,0.537
HIGHEST IN THE ROOM,['Travis Scott'],87,0.427
Put Your Records On,['Ritt Momney'],87,0.491
Prisoner (feat. Dua Lipa),"['Miley Cyrus', 'Dua Lipa']",87,0.67
All of Me,['John Legend'],87,0.264
Do I Wanna Know?,['Arctic Monkeys'],87,0.532
Una Locura,"['Ozuna', 'J Balvin', 'Chencho Corleone']",87,0.761
The Hills,['The Weeknd'],87,0.564
Daddy Issues,['The Neighbourhood'],87,0.521
Stressed Out,['Twenty One Pilots'],86,0.637
Yellow,['Coldplay'],86,0.661
Devil Eyes,['Hippie Sabotage'],86,0.396
Starboy,"['The Weeknd', 'Daft Punk']",86,0.587
Closer,"['The Chainsmokers', 'Halsey']",86,0.524
On The Ground,['ROSÉ'],86,0.607
The Nights,['Avicii'],86,0.835
The Less I Know The Better,['Tame Impala'],86,0.74
Electric Love,['BØRNS'],86,0.797
Hayloft,['Mother Mother'],86,0.922
Shallow,"['Lady Gaga', 'Bradley Cooper']",86,0.385
In Your Eyes,['The Weeknd'],86,0.719
Hope,['XXXTENTACION'],86,0.457
Why'd You Only Call Me When You're High?,['Arctic Monkeys'],86,0.631
Stuck with U (with Justin Bieber),"['Ariana Grande', 'Justin Bieber']",86,0.45
POPSTAR (feat. Drake),"['DJ Khaled', 'Drake']",86,0.56
my ex's best friend (with blackbear),"['Machine Gun Kelly', 'blackbear']",86,0.675
La Tóxica,['Farruko'],86,0.701
At My Worst,['Pink Sweat$'],86,0.415
Mood Swings (feat. Lil Tjay),"['Pop Smoke', 'Lil Tjay']",86,0.602
Maniac,['Conan Gray'],86,0.639
Ponte Pa' Mi,['Justin Quiles'],86,0.713
Parce (feat. Justin Quiles),"['Maluma', 'Lenny Tavárez', 'Justin Quiles']",86,0.739
"Lemonade (feat. Gunna, Don Toliver & NAV)","['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",86,0.658
Come & Go (with Marshmello),"['Juice WRLD', 'Marshmello']",86,0.814
La Curiosidad,"['Jay Wheeler', 'DJ Nelson', 'Myke Towers']",86,0.677
Coração Na Cama,['Hugo & Guilherme'],86,0.794
hot girl bummer,['blackbear'],86,0.559
Polvo,"['Nicky Jam', 'Myke Towers']",86,0.621
Love Not War (The Tampa Beat),"['Jason Derulo', 'Nuka']",86,0.85
Godzilla (feat. Juice WRLD),"['Eminem', 'Juice WRLD']",86,0.745
Snowman,['Sia'],86,0.512
Esquema Preferido,"['DJ Ivis', 'Tarcísio do Acordeon']",86,0.812
rockstar (feat. 21 Savage),"['Post Malone', '21 Savage']",86,0.52
Girls Like Us,['Zoe Wees'],86,0.648
LOCATION,"['KAROL G', 'Anuel AA', 'J Balvin']",86,0.758
Travesuras - Remix,"['Nio Garcia', 'Casper Magico', 'Ozuna', 'Wisin & Yandel', 'Myke Towers', 'Flow La Movie']",86,0.788
Cover Me In Sunshine,"['P!nk', 'Willow Sage Hart']",86,0.594
Wasted Love (feat. Lagique),"['Ofenbach', 'Lagique']",86,0.855
If the World Was Ending - feat. Julia Michaels,"['JP Saxe', 'Julia Michaels']",86,0.473
when the party's over,['Billie Eilish'],86,0.111
Dior,['Pop Smoke'],86,0.805
Star Shopping,['Lil Peep'],86,0.471
Don't Start Now,['Dua Lipa'],86,0.793
Clean White Noise - Loopable with no fade,"['Erik Eriksson', 'White Noise Baby Sleep', 'White Noise for Babies']",86,0.00342
ROXANNE,['Arizona Zervas'],86,0.601
Before You Go,['Lewis Capaldi'],86,0.575
Lemon Pepper Freestyle (feat. Rick Ross),"['Drake', 'Rick Ross']",86,0.637
Fan de Tus Fotos,"['Nicky Jam', 'Romeo Santos']",86,0.689
Además de Mí - Remix,"['Rusherking', 'KHEA', 'Duki', 'Maria Becerra', 'Lit Killah', 'Tiago PZK']",86,0.613
PROBLEMA,['Daddy Yankee'],86,0.8
Antes,"['Anuel AA', 'Ozuna']",85,0.737
Machu Picchu,"['Camilo', 'Evaluna Montaner']",85,0.789
Kiss Me More (feat. SZA),"['Doja Cat', 'SZA']",85,0.701
Love Story (Taylor’s Version),['Taylor Swift'],85,0.79
Disco Arranhado - Funk Remix,"['Malu', 'DJ Lucas Beat']",85,0.725
Slumber Party (feat. Princess Nokia),"['Ashnikko', 'Princess Nokia']",85,0.398
As I Am (feat. Khalid),"['Justin Bieber', 'Khalid']",85,0.543
Calling My Phone,"['Lil Tjay', '6LACK']",85,0.393
"L-Gante: Bzrp Music Sessions, Vol.38","['Bizarrap', 'L-Gante']",85,0.819
On The Ground,['ROSÉ'],85,0.607
When I Was Your Man,['Bruno Mars'],85,0.28
Can't Hold Us - feat. Ray Dalton,['Macklemore & Ryan Lewis'],85,0.922
Locked out of Heaven,['Bruno Mars'],85,0.698
Mood (feat. iann dior),"['24kGoldn', 'iann dior']",85,0.716
Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",85,0.479
No Role Modelz,['J. Cole'],85,0.521
Photograph,['Ed Sheeran'],85,0.379
Thunder,['Imagine Dragons'],85,0.822
Everybody Dies In Their Nightmares,['XXXTENTACION'],85,0.57
Cloud 9,['Beach Bunny'],85,0.929
Kings & Queens,['Ava Max'],85,0.69
Monster (Shawn Mendes & Justin Bieber),"['Shawn Mendes', 'Justin Bieber']",85,0.383
Don't Start Now,['Dua Lipa'],85,0.793
Explícito,['Myke Towers'],85,0.83
Hawái,['Maluma'],85,0.728
Heat Waves,['Glass Animals'],85,0.525
Moonlight,['XXXTENTACION'],85,0.537
