name,artists,popularity,tempo
Chica Ideal,"['Sebastian Yatra', 'Guaynaa']",87,100.978
SugarCrash!,['ElyOtto'],87,97.753
Lemonade,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",87,140.04
Wishing Well,['Juice WRLD'],87,149.972
Mi Niña,"['Wisin', 'Myke Towers', 'Los Legendarios']",87,99.999
Lonely (with benny blanco),"['Justin Bieber', 'benny blanco']",87,79.859
Savage Love (Laxed - Siren Beat),"['Jawsh 685', 'Jason Derulo']",87,150.076
Reloj,"['Rauw Alejandro', 'Anuel AA']",87,175.946
HIGHEST IN THE ROOM,['Travis Scott'],87,76.469
Put Your Records On,['Ritt Momney'],87,91.066
Prisoner (feat. Dua Lipa),"['Miley Cyrus', 'Dua Lipa']",87,127.99
All of Me,['John Legend'],87,119.93
Do I Wanna Know?,['Arctic Monkeys'],87,85.03
Una Locura,"['Ozuna', 'J Balvin', 'Chencho Corleone']",87,168.022
The Hills,['The Weeknd'],87,113.003
Daddy Issues,['The Neighbourhood'],87,85.012
Stressed Out,['Twenty One Pilots'],86,169.977
Yellow,['Coldplay'],86,173.372
Devil Eyes,['Hippie Sabotage'],86,99.112
Starboy,"['The Weeknd', 'Daft Punk']",86,186.003
Closer,"['The Chainsmokers', 'Halsey']",86,95.01
On The Ground,['ROSÉ'],86,188.7
The Nights,['Avicii'],86,125.983
The Less I Know The Better,['Tame Impala'],86,116.879
Electric Love,['BØRNS'],86,120.041
Hayloft,['Mother Mother'],86,95.975
Shallow,"['Lady Gaga', 'Bradley Cooper']",86,95.799
In Your Eyes,['The Weeknd'],86,100.021
Hope,['XXXTENTACION'],86,146.04
Why'd You Only Call Me When You're High?,['Arctic Monkeys'],86,92.004
Stuck with U (with Justin Bieber),"['Ariana Grande', 'Justin Bieber']",86,178.765
POPSTAR (feat. Drake),"['DJ Khaled', 'Drake']",86,163.071
my ex's best friend (with blackbear),"['Machine Gun Kelly', 'blackbear']",86,124.939
La Tóxica,['Farruko'],86,91.97
At My Worst,['Pink Sweat$'],86,91.921
Mood Swings (feat. Lil Tjay),"['Pop Smoke', 'Lil Tjay']",86,179.798
Maniac,['Conan Gray'],86,108.045
Ponte Pa' Mi,['Justin Quiles'],86,92.028
Parce (feat. Justin Quiles),"['Maluma', 'Lenny Tavárez', 'Justin Quiles']",86,83.897
"Lemonade (feat. Gunna, Don Toliver & NAV)","['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",86,140.042
Come & Go (with Marshmello),"['Juice WRLD', 'Marshmello']",86,144.991
La Curiosidad,"['Jay Wheeler', 'DJ Nelson', 'Myke Towers']",86,90.013
Coração Na Cama,['Hugo & Guilherme'],86,110.013
hot girl bummer,['blackbear'],86,129.992
Polvo,"['Nicky Jam', 'Myke Towers']",86,82.042
Love Not War (The Tampa Beat),"['Jason Derulo', 'Nuka']",86,98.013
Godzilla (feat. Juice WRLD),"['Eminem', 'Juice WRLD']",86,165.995
Snowman,['Sia'],86,104.957
Esquema Preferido,"['DJ Ivis', 'Tarcísio do Acordeon']",86,159.934
rockstar (feat. 21 Savage),"['Post Malone', '21 Savage']",86,159.801
Girls Like Us,['Zoe Wees'],86,125.706
LOCATION,"['KAROL G', 'Anuel AA', 'J Balvin']",86,115.977
Travesuras - Remix,"['Nio Garcia', 'Casper Magico', 'Ozuna', 'Wisin & Yandel', 'Myke Towers', 'Flow La Movie']",86,175.996
Cover Me In Sunshine,"['P!nk', 'Willow Sage Hart']",86,159.702
Wasted Love (feat. Lagique),"['Ofenbach', 'Lagique']",86,121.955
If the World Was Ending - feat. Julia Michaels,"['JP Saxe', 'Julia Michaels']",86,75.801
when the party's over,['Billie Eilish'],86,82.642
Dior,['Pop Smoke'],86,142.094
Star Shopping,['Lil Peep'],86,93.099
Don't Start Now,['Dua Lipa'],86,123.941
Clean White Noise - Loopable with no fade,"['Erik Eriksson', 'White Noise Baby Sleep', 'White Noise for Babies']",86,0.0
ROXANNE,['Arizona Zervas'],86,116.735
Before You Go,['Lewis Capaldi'],86,111.881
Lemon Pepper Freestyle (feat. Rick Ross),"['Drake', 'Rick Ross']",86,94.966
Fan de Tus Fotos,"['Nicky Jam', 'Romeo Santos']",86,170.089
Además de Mí - Remix,"['Rusherking', 'KHEA', 'Duki', 'Maria Becerra', 'Lit Killah', 'Tiago PZK']",86,78.4
PROBLEMA,['Daddy Yankee'],86,89.988
Antes,"['Anuel AA', 'Ozuna']",85,93.985
Machu Picchu,"['Camilo', 'Evaluna Montaner']",85,167.897
Kiss Me More (feat. SZA),"['Doja Cat', 'SZA']",85,110.968
Love Story (Taylor’s Version),['Taylor Swift'],85,119.082
