name,artists,popularity,danceability
Chica Ideal,"['Sebastian Yatra', 'Guaynaa']",87,0.574
SugarCrash!,['ElyOtto'],87,0.748
Lemonade,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",87,0.799
Wishing Well,['Juice WRLD'],87,0.65
Mi Niña,"['Wisin', 'Myke Towers', 'Los Legendarios']",87,0.823
Lonely (with benny blanco),"['Justin Bieber', 'benny blanco']",87,0.631
Savage Love (Laxed - Siren Beat),"['Jawsh 685', 'Jason Derulo']",87,0.767
Reloj,"['Rauw Alejandro', 'Anuel AA']",87,0.823
HIGHEST IN THE ROOM,['Travis Scott'],87,0.598
Put Your Records On,['Ritt Momney'],87,0.399
Prisoner (feat. Dua Lipa),"['Miley Cyrus', 'Dua Lipa']",87,0.781
All of Me,['John Legend'],87,0.422
Do I Wanna Know?,['Arctic Monkeys'],87,0.548
Una Locura,"['Ozuna', 'J Balvin', 'Chencho Corleone']",87,0.714
The Hills,['The Weeknd'],87,0.585
Daddy Issues,['The Neighbourhood'],87,0.588
Stressed Out,['Twenty One Pilots'],86,0.734
Yellow,['Coldplay'],86,0.429
Devil Eyes,['Hippie Sabotage'],86,0.391
Starboy,"['The Weeknd', 'Daft Punk']",86,0.679
Closer,"['The Chainsmokers', 'Halsey']",86,0.748
On The Ground,['ROSÉ'],86,0.311
The Nights,['Avicii'],86,0.527
The Less I Know The Better,['Tame Impala'],86,0.64
Electric Love,['BØRNS'],86,0.611
Hayloft,['Mother Mother'],86,0.527
Shallow,"['Lady Gaga', 'Bradley Cooper']",86,0.572
In Your Eyes,['The Weeknd'],86,0.667
Hope,['XXXTENTACION'],86,0.592
Why'd You Only Call Me When You're High?,['Arctic Monkeys'],86,0.691
Stuck with U (with Justin Bieber),"['Ariana Grande', 'Justin Bieber']",86,0.597
POPSTAR (feat. Drake),"['DJ Khaled', 'Drake']",86,0.8
my ex's best friend (with blackbear),"['Machine Gun Kelly', 'blackbear']",86,0.731
La Tóxica,['Farruko'],86,0.659
At My Worst,['Pink Sweat$'],86,0.813
Mood Swings (feat. Lil Tjay),"['Pop Smoke', 'Lil Tjay']",86,0.48
Maniac,['Conan Gray'],86,0.628
Ponte Pa' Mi,['Justin Quiles'],86,0.878
Parce (feat. Justin Quiles),"['Maluma', 'Lenny Tavárez', 'Justin Quiles']",86,0.691
"Lemonade (feat. Gunna, Don Toliver & NAV)","['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",86,0.8
