name,artists,popularity,acousticness
UN DIA (ONE DAY) (Feat. Tainy),"['J Balvin', 'Tainy', 'Dua Lipa', 'Bad Bunny']",87,0.00536
Chica Ideal,"['Sebastian Yatra', 'Guaynaa']",87,0.0847
SugarCrash!,['ElyOtto'],87,0.524
Lemonade,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",87,0.256
Wishing Well,['Juice WRLD'],87,0.00336
Mi Niña,"['Wisin', 'Myke Towers', 'Los Legendarios']",87,0.31
Lonely (with benny blanco),"['Justin Bieber', 'benny blanco']",87,0.864
Savage Love (Laxed - Siren Beat),"['Jawsh 685', 'Jason Derulo']",87,0.234
Reloj,"['Rauw Alejandro', 'Anuel AA']",87,0.176
HIGHEST IN THE ROOM,['Travis Scott'],87,0.0546
Put Your Records On,['Ritt Momney'],87,0.0563
Prisoner (feat. Dua Lipa),"['Miley Cyrus', 'Dua Lipa']",87,0.0103
All of Me,['John Legend'],87,0.922
Do I Wanna Know?,['Arctic Monkeys'],87,0.186
Una Locura,"['Ozuna', 'J Balvin', 'Chencho Corleone']",87,0.139
The Hills,['The Weeknd'],87,0.0671
Daddy Issues,['The Neighbourhood'],87,0.0678
Stressed Out,['Twenty One Pilots'],86,0.0462
Yellow,['Coldplay'],86,0.00239
Devil Eyes,['Hippie Sabotage'],86,0.702
Starboy,"['The Weeknd', 'Daft Punk']",86,0.141
Closer,"['The Chainsmokers', 'Halsey']",86,0.414
On The Ground,['ROSÉ'],86,0.0174
The Nights,['Avicii'],86,0.0166
The Less I Know The Better,['Tame Impala'],86,0.0115
Electric Love,['BØRNS'],86,0.00543
Hayloft,['Mother Mother'],86,0.00475
Shallow,"['Lady Gaga', 'Bradley Cooper']",86,0.371
In Your Eyes,['The Weeknd'],86,0.00285
Hope,['XXXTENTACION'],86,0.661
Why'd You Only Call Me When You're High?,['Arctic Monkeys'],86,0.0483
Stuck with U (with Justin Bieber),"['Ariana Grande', 'Justin Bieber']",86,0.223
POPSTAR (feat. Drake),"['DJ Khaled', 'Drake']",86,0.057
my ex's best friend (with blackbear),"['Machine Gun Kelly', 'blackbear']",86,0.00473
La Tóxica,['Farruko'],86,0.0882
At My Worst,['Pink Sweat$'],86,0.777
Mood Swings (feat. Lil Tjay),"['Pop Smoke', 'Lil Tjay']",86,0.487
Maniac,['Conan Gray'],86,0.00162
Ponte Pa' Mi,['Justin Quiles'],86,0.0581
Parce (feat. Justin Quiles),"['Maluma', 'Lenny Tavárez', 'Justin Quiles']",86,0.422
"Lemonade (feat. Gunna, Don Toliver & NAV)","['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",86,0.25
Come & Go (with Marshmello),"['Juice WRLD', 'Marshmello']",86,0.0172
La Curiosidad,"['Jay Wheeler', 'DJ Nelson', 'Myke Towers']",86,0.269
Coração Na Cama,['Hugo & Guilherme'],86,0.663
hot girl bummer,['blackbear'],86,0.125
Polvo,"['Nicky Jam', 'Myke Towers']",86,0.0105
Love Not War (The Tampa Beat),"['Jason Derulo', 'Nuka']",86,0.105
Godzilla (feat. Juice WRLD),"['Eminem', 'Juice WRLD']",86,0.145
Snowman,['Sia'],86,0.483
Esquema Preferido,"['DJ Ivis', 'Tarcísio do Acordeon']",86,0.256
rockstar (feat. 21 Savage),"['Post Malone', '21 Savage']",86,0.124
Girls Like Us,['Zoe Wees'],86,0.288
LOCATION,"['KAROL G', 'Anuel AA', 'J Balvin']",86,0.0433
Travesuras - Remix,"['Nio Garcia', 'Casper Magico', 'Ozuna', 'Wisin & Yandel', 'Myke Towers', 'Flow La Movie']",86,0.0513
Cover Me In Sunshine,"['P!nk', 'Willow Sage Hart']",86,0.0599
Wasted Love (feat. Lagique),"['Ofenbach', 'Lagique']",86,0.0821
If the World Was Ending - feat. Julia Michaels,"['JP Saxe', 'Julia Michaels']",86,0.866
when the party's over,['Billie Eilish'],86,0.978
Dior,['Pop Smoke'],86,0.212
Star Shopping,['Lil Peep'],86,0.0967
Don't Start Now,['Dua Lipa'],86,0.0125
Clean White Noise - Loopable with no fade,"['Erik Eriksson', 'White Noise Baby Sleep', 'White Noise for Babies']",86,0.791
ROXANNE,['Arizona Zervas'],86,0.0522
Before You Go,['Lewis Capaldi'],86,0.604
Lemon Pepper Freestyle (feat. Rick Ross),"['Drake', 'Rick Ross']",86,0.103
Fan de Tus Fotos,"['Nicky Jam', 'Romeo Santos']",86,0.293
Además de Mí - Remix,"['Rusherking', 'KHEA', 'Duki', 'Maria Becerra', 'Lit Killah', 'Tiago PZK']",86,0.0396
PROBLEMA,['Daddy Yankee'],86,0.0613
Antes,"['Anuel AA', 'Ozuna']",85,0.046
Machu Picchu,"['Camilo', 'Evaluna Montaner']",85,0.397
Kiss Me More (feat. SZA),"['Doja Cat', 'SZA']",85,0.235
Love Story (Taylor’s Version),['Taylor Swift'],85,0.135
Disco Arranhado - Funk Remix,"['Malu', 'DJ Lucas Beat']",85,0.551
Slumber Party (feat. Princess Nokia),"['Ashnikko', 'Princess Nokia']",85,0.00151
As I Am (feat. Khalid),"['Justin Bieber', 'Khalid']",85,0.127
Calling My Phone,"['Lil Tjay', '6LACK']",85,0.451
"L-Gante: Bzrp Music Sessions, Vol.38","['Bizarrap', 'L-Gante']",85,0.368
On The Ground,['ROSÉ'],85,0.0174
When I Was Your Man,['Bruno Mars'],85,0.932
Can't Hold Us - feat. Ray Dalton,['Macklemore & Ryan Lewis'],85,0.0291
Locked out of Heaven,['Bruno Mars'],85,0.049
Mood (feat. iann dior),"['24kGoldn', 'iann dior']",85,0.174
Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",85,0.556
No Role Modelz,['J. Cole'],85,0.301
Photograph,['Ed Sheeran'],85,0.607
Thunder,['Imagine Dragons'],85,0.00671
Everybody Dies In Their Nightmares,['XXXTENTACION'],85,0.847
Cloud 9,['Beach Bunny'],85,0.00167
Kings & Queens,['Ava Max'],85,0.00786
Monster (Shawn Mendes & Justin Bieber),"['Shawn Mendes', 'Justin Bieber']",85,0.0676
Don't Start Now,['Dua Lipa'],85,0.0123
Explícito,['Myke Towers'],85,0.348
Hawái,['Maluma'],85,0.189
Heat Waves,['Glass Animals'],85,0.44
Moonlight,['XXXTENTACION'],85,0.556
