name,artists,popularity,tempo
"Mrs. Robinson - From ""The Graduate"" Soundtrack",['Simon & Garfunkel'],77,92.033
Yesterday - Remastered 2009,['The Beatles'],77,96.529
Piano Man,['Billy Joel'],77,177.734
The Joker,['Steve Miller Band'],77,83.293
I Want You Back,['The Jackson 5'],77,196.605
"Rasputin - 7"" Version",['Boney M.'],77,126.212
Heaven,['Bryan Adams'],77,140.059
At Last,['Etta James'],77,87.43
Eye of the Tiger,['Survivor'],77,108.873
Kickstart My Heart,['Mötley Crüe'],77,178.98
Right Here Waiting,['Richard Marx'],77,177.679
Wish You Were Here,['Pink Floyd'],77,122.883
Wild World,['Yusuf / Cat Stevens'],77,152.853
Listen to the Music,['The Doobie Brothers'],77,105.929
(Don't Fear) The Reaper,['Blue Öyster Cult'],77,141.466
You're so Vain,['Carly Simon'],77,106.186
Hooked on a Feeling,['Blue Swede' 'Björn Skifs'],77,118.208
Walk This Way,['Aerosmith'],77,108.705
Message In A Bottle,['The Police'],76,151.008
Don't Stop 'Til You Get Enough,['Michael Jackson'],76,118.881
Spirit In The Sky,['Norman Greenbaum'],76,128.903
Gimme Shelter,['The Rolling Stones'],76,118.628
We Didn't Start the Fire,['Billy Joel'],76,145.024
Let's Stay Together,['Al Green'],76,101.985
Is This Love,['Bob Marley & The Wailers'],76,122.242
You're The One That I Want - From “Grease”,['John Travolta' 'Olivia Newton-John'],76,106.945
Walk On the Wild Side,['Lou Reed'],76,104.522
How Deep Is Your Love,['Bee Gees'],76,104.938
(Sittin' On) the Dock of the Bay,['Otis Redding'],76,103.621
American Pie,['Don McLean'],76,138.45
Brandy (You're a Fine Girl),['Looking Glass'],76,125.276
I'm On Fire,['Bruce Springsteen'],76,88.591
Build Me Up Buttercup - Mono,['The Foundations'],76,133.609
The Lady In Red,['Chris de Burgh'],76,76.698
The Boys Are Back In Town,['Thin Lizzy'],76,80.823
If You Leave Me Now,['Chicago'],76,104.212
Crazy Little Thing Called Love - Remastered 2011,['Queen'],76,77.015
Another One Bites The Dust - Remastered 2011,['Queen'],76,109.975
Jack & Diane,['John Mellencamp'],76,103.965
You Can't Hurry Love,['The Supremes'],76,96.912
Mamma Mia,['ABBA'],76,137.547
December 1963 (Oh What a Night!),['Frankie Valli & The Four Seasons'],76,104.409
Rock And Roll All Nite,['KISS'],76,144.774
Sweet Emotion,['Aerosmith'],76,99.437
