name,artists,popularity,danceability
"Mrs. Robinson - From ""The Graduate"" Soundtrack",['Simon & Garfunkel'],77,0.606
Yesterday - Remastered 2009,['The Beatles'],77,0.332
Piano Man,['Billy Joel'],77,0.331
The Joker,['Steve Miller Band'],77,0.596
I Want You Back,['The Jackson 5'],77,0.469
"Rasputin - 7"" Version",['Boney M.'],77,0.694
Heaven,['Bryan Adams'],77,0.382
At Last,['Etta James'],77,0.274
Eye of the Tiger,['Survivor'],77,0.817
Kickstart My Heart,['Mötley Crüe'],77,0.359
Right Here Waiting,['Richard Marx'],77,0.395
Wish You Were Here,['Pink Floyd'],77,0.481
Wild World,['Yusuf / Cat Stevens'],77,0.48
Listen to the Music,['The Doobie Brothers'],77,0.645
(Don't Fear) The Reaper,['Blue Öyster Cult'],77,0.333
You're so Vain,['Carly Simon'],77,0.659
Hooked on a Feeling,"['Blue Swede', 'Björn Skifs']",77,0.547
Walk This Way,['Aerosmith'],77,0.653
Message In A Bottle,['The Police'],76,0.577
Don't Stop 'Til You Get Enough,['Michael Jackson'],76,0.878
Spirit In The Sky,['Norman Greenbaum'],76,0.609
Gimme Shelter,['The Rolling Stones'],76,0.634
We Didn't Start the Fire,['Billy Joel'],76,0.712
Let's Stay Together,['Al Green'],76,0.756
Is This Love,['Bob Marley & The Wailers'],76,0.776
You're The One That I Want - From “Grease”,"['John Travolta', 'Olivia Newton-John']",76,0.758
Walk On the Wild Side,['Lou Reed'],76,0.575
How Deep Is Your Love,['Bee Gees'],76,0.633
(Sittin' On) the Dock of the Bay,['Otis Redding'],76,0.769
American Pie,['Don McLean'],76,0.531
Brandy (You're a Fine Girl),['Looking Glass'],76,0.716
I'm On Fire,['Bruce Springsteen'],76,0.62
Build Me Up Buttercup - Mono,['The Foundations'],76,0.659
The Lady In Red,['Chris de Burgh'],76,0.548
The Boys Are Back In Town,['Thin Lizzy'],76,0.445
If You Leave Me Now,['Chicago'],76,0.429
Crazy Little Thing Called Love - Remastered 2011,['Queen'],76,0.599
Another One Bites The Dust - Remastered 2011,['Queen'],76,0.933
Jack & Diane,['John Mellencamp'],76,0.811
You Can't Hurry Love,['The Supremes'],76,0.63
Mamma Mia,['ABBA'],76,0.749
"December, 1963 (Oh What a Night!)",['Frankie Valli & The Four Seasons'],76,0.737
Rock And Roll All Nite,['KISS'],76,0.654
Sweet Emotion,['Aerosmith'],76,0.38
Tainted Love,['Soft Cell'],76,0.5
Rebel Rebel - 2016 Remaster,['David Bowie'],76,0.635
Devuélveme a mi chica,['Hombres G'],76,0.603
Don't You (Forget About Me),['Simple Minds'],76,0.66
I Want To Break Free - Single Remix,['Queen'],76,0.795
Radio Ga Ga - Remastered 2011,['Queen'],76,0.744
Born in the U.S.A.,['Bruce Springsteen'],76,0.398
Give A Little Bit,['Supertramp'],76,0.531
Heroes - 2017 Remaster,['David Bowie'],76,0.49
We Are The Champions - Remastered 2011,['Queen'],76,0.268
Purple Rain,['Prince'],76,0.367
Bohemian Rhapsody - Remastered 2011,['Queen'],76,0.392
Carry on Wayward Son,['Kansas'],76,0.482
Break My Stride,['Matthew Wilder'],76,0.917
Maniac,['Michael Sembello'],76,0.617
Wanted Dead Or Alive,['Bon Jovi'],75,0.252
Boys Don't Cry,['The Cure'],75,0.462
We're Not Gonna Take It,['Twisted Sister'],75,0.502
Boogie Wonderland,"['Earth, Wind & Fire', 'The Emotions']",75,0.802
Bennie And The Jets - Remastered 2014,['Elton John'],75,0.665
Angie,['The Rolling Stones'],75,0.429
Rock with You - Single Version,['Michael Jackson'],75,0.808
Escape (The Pina Colada Song),['Rupert Holmes'],75,0.836
Blackbird - Remastered 2009,['The Beatles'],75,0.686
Layla,['Derek & The Dominos'],75,0.404
Cecilia,['Simon & Garfunkel'],75,0.755
House of the Rising Sun,['The Animals'],75,0.316
Father And Son,['Yusuf / Cat Stevens'],75,0.495
Twist And Shout - Remastered 2009,['The Beatles'],75,0.482
Can't Fight This Feeling,['REO Speedwagon'],75,0.408
Pour Some Sugar On Me - Remastered 2017,['Def Leppard'],75,0.267
Alone,['Heart'],75,0.418
Sweet Child O' Mine,"[""Guns N' Roses""]",75,0.446
Go Your Own Way - 2004 Remaster,['Fleetwood Mac'],75,0.586
Another Day in Paradise - 2016 Remaster,['Phil Collins'],75,0.78
This Charming Man - 2011 Remaster,['The Smiths'],75,0.611
Let's Groove,"['Earth, Wind & Fire']",75,0.869
I'm a Believer - 2006 Remaster,['The Monkees'],75,0.526
Jamming,['Bob Marley & The Wailers'],75,0.934
Barracuda,['Heart'],75,0.547
Smoke On The Water - Remastered 2012,['Deep Purple'],75,0.598
