name,artists,popularity,valence
"Mrs. Robinson - From ""The Graduate"" Soundtrack",['Simon & Garfunkel'],77,0.813
Yesterday - Remastered 2009,['The Beatles'],77,0.315
Piano Man,['Billy Joel'],77,0.429
The Joker,['Steve Miller Band'],77,0.796
I Want You Back,['The Jackson 5'],77,0.886
"Rasputin - 7"" Version",['Boney M.'],77,0.972
Heaven,['Bryan Adams'],77,0.335
At Last,['Etta James'],77,0.328
Eye of the Tiger,['Survivor'],77,0.548
Kickstart My Heart,['Mötley Crüe'],77,0.271
Right Here Waiting,['Richard Marx'],77,0.126
Wish You Were Here,['Pink Floyd'],77,0.375
Wild World,['Yusuf / Cat Stevens'],77,0.567
Listen to the Music,['The Doobie Brothers'],77,0.913
(Don't Fear) The Reaper,['Blue Öyster Cult'],77,0.385
You're so Vain,['Carly Simon'],77,0.647
Hooked on a Feeling,['Blue Swede' 'Björn Skifs'],77,0.933
Walk This Way,['Aerosmith'],77,0.894
Message In A Bottle,['The Police'],76,0.869
Don't Stop 'Til You Get Enough,['Michael Jackson'],76,0.947
Spirit In The Sky,['Norman Greenbaum'],76,0.543
Gimme Shelter,['The Rolling Stones'],76,0.489
We Didn't Start the Fire,['Billy Joel'],76,0.895
Let's Stay Together,['Al Green'],76,0.507
Is This Love,['Bob Marley & The Wailers'],76,0.758
You're The One That I Want - From “Grease”,['John Travolta' 'Olivia Newton-John'],76,0.822
Walk On the Wild Side,['Lou Reed'],76,0.385
How Deep Is Your Love,['Bee Gees'],76,0.674
(Sittin' On) the Dock of the Bay,['Otis Redding'],76,0.535
American Pie,['Don McLean'],76,0.491
Brandy (You're a Fine Girl),['Looking Glass'],76,0.826
I'm On Fire,['Bruce Springsteen'],76,0.868
Build Me Up Buttercup - Mono,['The Foundations'],76,0.855
The Lady In Red,['Chris de Burgh'],76,0.491
The Boys Are Back In Town,['Thin Lizzy'],76,0.768
If You Leave Me Now,['Chicago'],76,0.276
Crazy Little Thing Called Love - Remastered 2011,['Queen'],76,0.712
Another One Bites The Dust - Remastered 2011,['Queen'],76,0.756
Jack & Diane,['John Mellencamp'],76,0.626
You Can't Hurry Love,['The Supremes'],76,0.659
Mamma Mia,['ABBA'],76,0.827
December 1963 (Oh What a Night!),['Frankie Valli & The Four Seasons'],76,0.967
Rock And Roll All Nite,['KISS'],76,0.902
Sweet Emotion,['Aerosmith'],76,0.491
Tainted Love,['Soft Cell'],76,0.623
Rebel Rebel - 2016 Remaster,['David Bowie'],76,0.464
Devuélveme a mi chica,['Hombres G'],76,0.503
Don't You (Forget About Me),['Simple Minds'],76,0.678
I Want To Break Free - Single Remix,['Queen'],76,0.596
Radio Ga Ga - Remastered 2011,['Queen'],76,0.66
Born in the U.S.A.,['Bruce Springsteen'],76,0.584
Give A Little Bit,['Supertramp'],76,0.471
Heroes - 2017 Remaster,['David Bowie'],76,0.435
We Are The Champions - Remastered 2011,['Queen'],76,0.175
Purple Rain,['Prince'],76,0.189
Bohemian Rhapsody - Remastered 2011,['Queen'],76,0.228
Carry on Wayward Son,['Kansas'],76,0.793
Break My Stride,['Matthew Wilder'],76,0.828
Maniac,['Michael Sembello'],76,0.835
Wanted Dead Or Alive,['Bon Jovi'],75,0.253
Boys Don't Cry,['The Cure'],75,0.671
We're Not Gonna Take It,['Twisted Sister'],75,0.922
Boogie Wonderland,['Earth Wind & Fire' 'The Emotions'],75,0.963
Bennie And The Jets - Remastered 2014,['Elton John'],75,0.779
Angie,['The Rolling Stones'],75,0.407
Rock with You - Single Version,['Michael Jackson'],75,0.848
Escape (The Pina Colada Song),['Rupert Holmes'],75,0.949
Blackbird - Remastered 2009,['The Beatles'],75,0.372
Layla,['Derek & The Dominos'],75,0.497
Cecilia,['Simon & Garfunkel'],75,0.954
House of the Rising Sun,['The Animals'],75,0.299
Father And Son,['Yusuf / Cat Stevens'],75,0.371
Twist And Shout - Remastered 2009,['The Beatles'],75,0.937
Can't Fight This Feeling,['REO Speedwagon'],75,0.19
Pour Some Sugar On Me - Remastered 2017,['Def Leppard'],75,0.568
Alone,['Heart'],75,0.168
Sweet Child O' Mine,"[""Guns N' Roses""]",75,0.624
Go Your Own Way - 2004 Remaster,['Fleetwood Mac'],75,0.831
Another Day in Paradise - 2016 Remaster,['Phil Collins'],75,0.365
This Charming Man - 2011 Remaster,['The Smiths'],75,0.751
Let's Groove,['Earth Wind & Fire'],75,0.9
I'm a Believer - 2006 Remaster,['The Monkees'],75,0.962
Jamming,['Bob Marley & The Wailers'],75,0.73
Barracuda,['Heart'],75,0.667
Smoke On The Water - Remastered 2012,['Deep Purple'],75,0.805
Don't You Want Me,['The Human League'],75,0.958
