name,artists,popularity,liveness
I Say a Little Prayer,['Aretha Franklin'],77,0.0585
"Mrs. Robinson - From ""The Graduate"" Soundtrack",['Simon & Garfunkel'],77,0.0747
Yesterday - Remastered 2009,['The Beatles'],77,0.0886
Piano Man,['Billy Joel'],77,0.192
The Joker,['Steve Miller Band'],77,0.206
I Want You Back,['The Jackson 5'],77,0.37
"Rasputin - 7"" Version",['Boney M.'],77,0.44
Heaven,['Bryan Adams'],77,0.122
At Last,['Etta James'],77,0.334
Eye of the Tiger,['Survivor'],77,0.0873
Kickstart My Heart,['Mötley Crüe'],77,0.284
Right Here Waiting,['Richard Marx'],77,0.101
Wish You Were Here,['Pink Floyd'],77,0.832
Wild World,['Yusuf / Cat Stevens'],77,0.113
Listen to the Music,['The Doobie Brothers'],77,0.0721
(Don't Fear) The Reaper,['Blue Öyster Cult'],77,0.297
You're so Vain,['Carly Simon'],77,0.0784
Hooked on a Feeling,['Blue Swede' 'Björn Skifs'],77,0.3
Walk This Way,['Aerosmith'],77,0.0754
Message In A Bottle,['The Police'],76,0.221
Don't Stop 'Til You Get Enough,['Michael Jackson'],76,0.183
Spirit In The Sky,['Norman Greenbaum'],76,0.118
Gimme Shelter,['The Rolling Stones'],76,0.17
We Didn't Start the Fire,['Billy Joel'],76,0.356
Let's Stay Together,['Al Green'],76,0.0542
Is This Love,['Bob Marley & The Wailers'],76,0.0671
You're The One That I Want - From “Grease”,['John Travolta' 'Olivia Newton-John'],76,0.0954
Walk On the Wild Side,['Lou Reed'],76,0.0934
How Deep Is Your Love,['Bee Gees'],76,0.133
(Sittin' On) the Dock of the Bay,['Otis Redding'],76,0.081
American Pie,['Don McLean'],76,0.0842
Brandy (You're a Fine Girl),['Looking Glass'],76,0.134
I'm On Fire,['Bruce Springsteen'],76,0.0727
Build Me Up Buttercup - Mono,['The Foundations'],76,0.283
The Lady In Red,['Chris de Burgh'],76,0.0392
The Boys Are Back In Town,['Thin Lizzy'],76,0.205
If You Leave Me Now,['Chicago'],76,0.128
Crazy Little Thing Called Love - Remastered 2011,['Queen'],76,0.349
Another One Bites The Dust - Remastered 2011,['Queen'],76,0.163
Jack & Diane,['John Mellencamp'],76,0.0799
You Can't Hurry Love,['The Supremes'],76,0.0813
Mamma Mia,['ABBA'],76,0.469
December 1963 (Oh What a Night!),['Frankie Valli & The Four Seasons'],76,0.0542
Rock And Roll All Nite,['KISS'],76,0.0539
Sweet Emotion,['Aerosmith'],76,0.104
Tainted Love,['Soft Cell'],76,0.26
Rebel Rebel - 2016 Remaster,['David Bowie'],76,0.282
Devuélveme a mi chica,['Hombres G'],76,0.445
Don't You (Forget About Me),['Simple Minds'],76,0.0608
I Want To Break Free - Single Remix,['Queen'],76,0.0763
Radio Ga Ga - Remastered 2011,['Queen'],76,0.189
Born in the U.S.A.,['Bruce Springsteen'],76,0.1
Give A Little Bit,['Supertramp'],76,0.263
Heroes - 2017 Remaster,['David Bowie'],76,0.092
We Are The Champions - Remastered 2011,['Queen'],76,0.118
Purple Rain,['Prince'],76,0.689
Bohemian Rhapsody - Remastered 2011,['Queen'],76,0.243
Carry on Wayward Son,['Kansas'],76,0.446
Break My Stride,['Matthew Wilder'],76,0.0914
Maniac,['Michael Sembello'],76,0.0415
Wanted Dead Or Alive,['Bon Jovi'],75,0.309
Boys Don't Cry,['The Cure'],75,0.18
We're Not Gonna Take It,['Twisted Sister'],75,0.162
Boogie Wonderland,['Earth Wind & Fire' 'The Emotions'],75,0.0521
Bennie And The Jets - Remastered 2014,['Elton John'],75,0.497
Angie,['The Rolling Stones'],75,0.105
Rock with You - Single Version,['Michael Jackson'],75,0.158
Escape (The Pina Colada Song),['Rupert Holmes'],75,0.0436
Blackbird - Remastered 2009,['The Beatles'],75,0.0573
Layla,['Derek & The Dominos'],75,0.287
Cecilia,['Simon & Garfunkel'],75,0.22
House of the Rising Sun,['The Animals'],75,0.0912
Father And Son,['Yusuf / Cat Stevens'],75,0.0996
Twist And Shout - Remastered 2009,['The Beatles'],75,0.0414
Can't Fight This Feeling,['REO Speedwagon'],75,0.0877
Pour Some Sugar On Me - Remastered 2017,['Def Leppard'],75,0.283
Alone,['Heart'],75,0.0959
Sweet Child O' Mine,"[""Guns N' Roses""]",75,0.112
Go Your Own Way - 2004 Remaster,['Fleetwood Mac'],75,0.068
Another Day in Paradise - 2016 Remaster,['Phil Collins'],75,0.063
This Charming Man - 2011 Remaster,['The Smiths'],75,0.0784
Let's Groove,['Earth Wind & Fire'],75,0.126
I'm a Believer - 2006 Remaster,['The Monkees'],75,0.217
Jamming,['Bob Marley & The Wailers'],75,0.109
Barracuda,['Heart'],75,0.144
Smoke On The Water - Remastered 2012,['Deep Purple'],75,0.112
Don't You Want Me,['The Human League'],75,0.214
