Semi-Charmed Life,['Third Eye Blind'],0.64,0.864,0.123,0.00832,0.701,102.026,1997
"My Heart Will Go On - Love Theme from ""Titanic""",['Céline Dion'],0.428,0.276,0.117,0.732,0.0382,99.195,1997
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,"['The Notorious B.I.G.', 'Mase', 'Diddy']",0.845,0.884,0.203,0.0128,0.904,104.536,1997
"Shook Ones, Pt. II",['Mobb Deep'],0.763,0.786,0.0817,0.0146,0.504,93.857,1995
"Because You Loved Me (Theme from ""Up Close and Personal"")",['Céline Dion'],0.615,0.467,0.099,0.314,0.177,119.919,1996
Say It Ain't So,['Weezer'],0.634,0.551,0.07,0.00737,0.453,151.779,1994
Even Flow,['Pearl Jam'],0.394,0.944,0.298,0.00178,0.265,105.338,1991
Friday I'm In Love,['The Cure'],0.526,0.763,0.359,0.00126,0.514,136.205,1992
Don't Cry (Original),"[""Guns N' Roses""]",0.456,0.59,0.104,0.00182,0.243,124.635,1991
Always,['Bon Jovi'],0.383,0.659,0.0778,0.117,0.327,140.795,1994
Rasputin,['Boney M.'],0.691,0.752,0.595,0.463,0.97,126.005,1994
"Nuthin' But A ""G"" Thang","['Dr. Dre', 'Snoop Dogg']",0.801,0.699,0.146,0.00575,0.655,94.605,1992
Everybody Hurts,['R.E.M.'],0.467,0.324,0.118,0.615,0.166,94.301,1992
No Rain,['Blind Melon'],0.389,0.476,0.255,0.619,0.566,148.117,1992
What's Love Got to Do with It,['Tina Turner'],0.851,0.406,0.0853,0.219,0.792,97.84,1993
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",['Aerosmith'],0.383,0.662,0.248,0.165,0.138,121.154,1998
"Boom, Boom, Boom, Boom!!",['Vengaboys'],0.811,0.935,0.0244,0.0134,0.968,138.479,1998
Dragula,['Rob Zombie'],0.591,0.963,0.0781,8.74e-05,0.609,125.03,1998
Doo Wop (That Thing),['Ms. Lauryn Hill'],0.535,0.505,0.0923,0.0393,0.495,99.935,1998
You Get What You Give,['New Radicals'],0.621,0.901,0.0875,0.17,0.744,113.967,1998
Freak On a Leash,['Korn'],0.353,0.898,0.39,2.23e-05,0.525,103.293,1998
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",['Eric Carmen'],0.712,0.549,0.118,0.011,0.552,109.882,1997
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",['Aerosmith'],0.39,0.649,0.216,0.172,0.144,121.16,1998
More Than Words,['Extreme'],0.623,0.127,0.114,0.452,0.237,91.625,1990
Karma Police,['Radiohead'],0.36,0.501,0.172,0.0638,0.324,74.807,1997
Truly Madly Deeply,['Savage Garden'],0.555,0.698,0.0851,0.403,0.816,168.12,1997
You're Still The One,['Shania Twain'],0.585,0.494,0.0886,0.363,0.634,133.822,1997
Flaca,['Andrés Calamaro'],0.739,0.745,0.127,0.21,0.949,109.326,1997
Torn,['Natalie Imbruglia'],0.575,0.886,0.709,0.0647,0.609,96.31,1997
"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",['Eric Clapton'],0.695,0.336,0.701,0.8,0.422,79.109,1992
Come As You Are,['Nirvana'],0.5,0.824,0.0916,0.00016,0.539,120.125,1991
Fade Into You,['Mazzy Star'],0.42,0.33,0.0677,0.245,0.175,157.143,1993
Are You Gonna Go My Way,['Lenny Kravitz'],0.619,0.67,0.331,0.00165,0.777,129.269,1993
To Be With You - 2010 Remastered Version,['Mr. Big'],0.688,0.375,0.133,0.286,0.45,83.635,1991
Bulls On Parade,['Rage Against The Machine'],0.412,0.919,0.424,0.0124,0.572,166.367,1996
Dreams,['The Cranberries'],0.551,0.643,0.421,0.00313,0.514,128.661,1993
Black,['Pearl Jam'],0.36,0.684,0.34,0.323,0.2,77.15,1991
Crazy,['Aerosmith'],0.37,0.866,0.137,0.0868,0.427,162.086,1993
Gin N Juice (feat. Dat Nigga Daz),"['Snoop Dogg', 'Daz Dillinger']",0.549,0.853,0.618,0.0285,0.346,94.695,1993
You Know How We Do It - Remastered,['Ice Cube'],0.747,0.52,0.142,0.0977,0.601,92.869,1993
Jump Around,['House Of Pain'],0.854,0.71,0.166,0.0113,0.818,106.894,1994
The Man Who Sold The World,['Nirvana'],0.483,0.753,0.257,0.425,0.42,115.102,1994
Enter Sandman,['Metallica'],0.579,0.824,0.059,0.00206,0.635,123.331,1991
I Got 5 On It,"['Luniz', 'Michael Marshall']",0.6,0.706,0.125,0.209,0.58,173.926,1995
Send Me on My Way,['Rusted Root'],0.5,0.681,0.139,0.114,0.745,119.46,1996
Bed Of Roses,['Bon Jovi'],0.309,0.596,0.21,0.101,0.161,164.587,1992
Oye Mi Amor,['Maná'],0.543,0.903,0.0862,0.0102,0.962,162.241,1992
Hasta Que Me Olvides,['Luis Miguel'],0.641,0.593,0.169,0.46,0.437,119.828,1993
Pretty Fly (For A White Guy),['The Offspring'],0.723,0.895,0.0717,0.088,0.963,143.373,1998
Enjoy the Silence,['Depeche Mode'],0.663,0.838,0.0782,0.2,0.752,112.788,1998
Nothing Compares 2 U,"[""Sinéad O'Connor""]",0.511,0.574,0.105,0.0425,0.161,119.917,1990
Abrázame Muy Fuerte,['Juan Gabriel'],0.515,0.387,0.126,0.689,0.312,135.739,1990
More Than Words,['Extreme'],0.626,0.134,0.113,0.467,0.239,91.893,1990
U Can't Touch This,['MC Hammer'],0.867,0.517,0.0864,0.00456,0.866,133.148,1990
Man in the Box,['Alice In Chains'],0.355,0.791,0.0969,0.00045,0.758,106.392,1990
Walk,['Pantera'],0.43,0.704,0.0933,0.000155,0.703,118.242,1992
C.R.E.A.M.,['Wu-Tang Clan'],0.479,0.549,0.127,0.57,0.576,180.985,1993
Shape Of My Heart,['Sting'],0.537,0.373,0.083,0.691,0.244,83.936,1993
Clavado En Un Bar,['Maná'],0.634,0.854,0.0664,0.00737,0.564,148.003,1997
Breakfast At Tiffany's,['Deep Blue Something'],0.622,0.829,0.0954,0.11,0.539,110.367,1995
Return of the Mack,['Mark Morrison'],0.715,0.833,0.164,0.00631,0.612,95.487,1996
Down Under,['Men At Work'],0.746,0.79,0.0534,0.0485,0.891,107.231,1996
I Have Nothing,['Whitney Houston'],0.541,0.401,0.164,0.576,0.24,152.943,1992
The Unforgiven,['Metallica'],0.54,0.584,0.253,0.0108,0.244,139.261,1991
Desvelado,['Bobby Pulido'],0.676,0.618,0.199,0.0361,0.899,173.955,1995
Always Be My Baby,['Mariah Carey'],0.65,0.531,0.249,0.457,0.487,78.946,1995
High and Dry,['Radiohead'],0.419,0.383,0.0896,0.0724,0.35,87.568,1995
Give It Away,['Red Hot Chili Peppers'],0.666,0.936,0.153,0.00244,0.776,91.577,1991
Buddy Holly,['Weezer'],0.556,0.92,0.117,0.00271,0.771,121.138,1994
Do For Love,['2Pac'],0.874,0.63,0.0582,0.0578,0.717,95.0,1997
Sabotage,['Beastie Boys'],0.324,0.938,0.0961,0.032,0.543,168.131,1994
Kiss from a Rose,['Seal'],0.584,0.533,0.306,0.684,0.224,131.745,1994
All That She Wants,['Ace of Base'],0.798,0.625,0.103,0.00547,0.858,93.764,1993
Ordinary World,['Duran Duran'],0.472,0.652,0.14,0.0131,0.401,140.124,1993
Everybody (Backstreet's Back) - Radio Edit,['Backstreet Boys'],0.731,0.853,0.268,0.0352,0.605,108.016,1997
Man! I Feel Like A Woman!,['Shania Twain'],0.657,0.639,0.278,0.581,0.674,124.882,1997
La flaca,['Jarabe De Palo'],0.871,0.481,0.0809,0.52,0.664,103.063,1996
Angels,['Robbie Williams'],0.429,0.594,0.1,0.156,0.236,150.22,1997
Don't Speak,['No Doubt'],0.522,0.707,0.156,0.24,0.572,76.05,1995
What I Got,['Sublime'],0.804,0.696,0.314,0.00877,0.657,95.721,1996
No Surprises,['Radiohead'],0.255,0.393,0.113,0.0577,0.118,76.426,1997
