name,artists,popularity,tempo
Clavado En Un Bar,['Maná'],74,148.003
Breakfast At Tiffany's,['Deep Blue Something'],74,110.367
Return of the Mack,['Mark Morrison'],74,95.487
Down Under,['Men At Work'],74,107.231
I Have Nothing,['Whitney Houston'],74,152.943
The Unforgiven,['Metallica'],74,139.261
Desvelado,['Bobby Pulido'],74,173.955
Always Be My Baby,['Mariah Carey'],74,78.946
High and Dry,['Radiohead'],74,87.568
Give It Away,['Red Hot Chili Peppers'],74,91.577
Buddy Holly,['Weezer'],74,121.138
Do For Love,['2Pac'],74,95.0
Sabotage,['Beastie Boys'],74,168.131
Kiss from a Rose,['Seal'],74,131.745
All That She Wants,['Ace of Base'],74,93.764
Ordinary World,['Duran Duran'],74,140.124
Everybody (Backstreet's Back) - Radio Edit,['Backstreet Boys'],74,108.016
Man! I Feel Like A Woman!,['Shania Twain'],74,124.882
La flaca,['Jarabe De Palo'],74,103.063
Angels,['Robbie Williams'],74,150.22
Don't Speak,['No Doubt'],74,76.05
What I Got,['Sublime'],74,95.721
No Surprises,['Radiohead'],73,76.426
California Love - Original Version,"['2Pac', 'Roger', 'Dr. Dre']",73,91.519
Symphony Of Destruction,['Megadeth'],73,139.903
Tatuajes,['Joan Sebastian'],73,100.718
Hallelujah,['Jeff Buckley'],73,97.256
Learning To Fly,['Tom Petty and the Heartbreakers'],73,116.74
Jeremy,['Pearl Jam'],73,108.808
Shiny Happy People,['R.E.M.'],73,124.623
Lithium,['Nirvana'],73,123.207
Whiskey In The Jar,['Metallica'],73,132.986
One Week,['Barenaked Ladies'],73,112.845
Amor Prohibido,['Selena'],73,89.994
Why Don't You Get A Job,['The Offspring'],73,107.932
Ready or Not,"['Fugees', 'Ms. Lauryn Hill', 'Wyclef Jean', 'Pras']",73,130.47
Save Tonight,['Eagle-Eye Cherry'],73,119.576
Lovefool,['The Cardigans'],73,111.845
Insane in the Brain,['Cypress Hill'],73,102.305
Cryin',['Aerosmith'],73,105.872
Fields Of Gold,['Sting'],73,103.996
The Beautiful People,['Marilyn Manson'],73,143.973
Interstate Love Song - 2019 Remaster,['Stone Temple Pilots'],73,170.814
La Media Vuelta,['Luis Miguel'],73,97.959
Coco Jamboo,['Mr. President'],73,100.021
Barbie Girl,['Aqua'],73,129.991
Dear Mama,['2Pac'],73,84.115
"Love Is All Around - From ""Four Weddings And A Funeral""",['Wet Wet Wet'],73,84.09
Du hast,['Rammstein'],73,125.105
De Música Ligera - Remasterizado 2007,['Soda Stereo'],73,124.235
I'll Stand by You,"['Pretenders', 'Bob Clearmountain']",73,133.822
Amiga mía,['Alejandro Sanz'],73,144.016
Freed From Desire,['Gala'],73,128.99
Fantasy,['Mariah Carey'],73,102.322
Bullet With Butterfly Wings - Remastered 2012,['The Smashing Pumpkins'],73,121.864
Streets of Philadelphia - Single Edit,['Bruce Springsteen'],73,93.699
Push The Feeling On - Mk Dub Revisited Edit,"['Nightcrawlers', 'MK']",73,123.017
"Danger Zone - From ""Top Gun"" Original Soundtrack",['Kenny Loggins'],73,157.17
En El Muelle De San Blas,['Maná'],73,97.159
Hit 'Em Up - Single Version,"['2Pac', 'Outlawz']",73,95.19
Waterfalls,['TLC'],73,171.804
Alright,['Supergrass'],73,145.92
Fly Away,['Lenny Kravitz'],72,159.925
Chattahoochee,['Alan Jackson'],72,174.533
Gettin' Jiggy Wit It,['Will Smith'],72,107.891
Every Time You Go Away - Radio Edit,['Paul Young'],72,164.252
End Of The Road,['Boyz II Men'],72,149.703
Two Princes,['Spin Doctors'],72,103.731
Walking in Memphis,['Marc Cohn'],72,130.271
Ode To My Family,['The Cranberries'],72,94.188
Check Yo Self - Remix,"['Ice Cube', 'Das EFX']",72,101.368
Cotton Eye Joe,['Rednex'],72,131.986
Hero,['Mariah Carey'],72,119.987
Rayando El Sol,['Maná'],72,112.677
"What Is Love - 7"" Mix",['Haddaway'],72,123.871
They Don't Care About Us,['Michael Jackson'],72,89.946
Would?,['Alice In Chains'],72,100.675
Harvest Moon,['Neil Young'],72,112.929
Cowboys from Hell,['Pantera'],72,114.816
Piensa En Mí,['Grupo Mojado'],72,80.096
Tengo Todo Excepto a Ti,['Luis Miguel'],72,147.977
Can I Kick It?,['A Tribe Called Quest'],72,96.662
Don't Look Back in Anger - Remastered,['Oasis'],72,162.937
Push,['Matchbox Twenty'],72,168.019
