name,artists,popularity,energy
Clavado En Un Bar,['Maná'],74,0.854
Breakfast At Tiffany's,['Deep Blue Something'],74,0.829
Return of the Mack,['Mark Morrison'],74,0.833
Down Under,['Men At Work'],74,0.79
I Have Nothing,['Whitney Houston'],74,0.401
The Unforgiven,['Metallica'],74,0.584
Desvelado,['Bobby Pulido'],74,0.618
Always Be My Baby,['Mariah Carey'],74,0.531
High and Dry,['Radiohead'],74,0.383
Give It Away,['Red Hot Chili Peppers'],74,0.936
Buddy Holly,['Weezer'],74,0.92
Do For Love,['2Pac'],74,0.63
Sabotage,['Beastie Boys'],74,0.938
Kiss from a Rose,['Seal'],74,0.533
All That She Wants,['Ace of Base'],74,0.625
Ordinary World,['Duran Duran'],74,0.652
Everybody (Backstreet's Back) - Radio Edit,['Backstreet Boys'],74,0.853
Man! I Feel Like A Woman!,['Shania Twain'],74,0.639
La flaca,['Jarabe De Palo'],74,0.481
Angels,['Robbie Williams'],74,0.594
Don't Speak,['No Doubt'],74,0.707
What I Got,['Sublime'],74,0.696
No Surprises,['Radiohead'],73,0.393
California Love - Original Version,"['2Pac', 'Roger', 'Dr. Dre']",73,0.85
Symphony Of Destruction,['Megadeth'],73,0.891
Tatuajes,['Joan Sebastian'],73,0.464
Hallelujah,['Jeff Buckley'],73,0.136
Learning To Fly,['Tom Petty and the Heartbreakers'],73,0.766
Jeremy,['Pearl Jam'],73,0.846
Shiny Happy People,['R.E.M.'],73,0.909
Lithium,['Nirvana'],73,0.656
Whiskey In The Jar,['Metallica'],73,0.97
One Week,['Barenaked Ladies'],73,0.898
Amor Prohibido,['Selena'],73,0.504
Why Don't You Get A Job,['The Offspring'],73,0.882
Ready or Not,"['Fugees', 'Ms. Lauryn Hill', 'Wyclef Jean', 'Pras']",73,0.422
Save Tonight,['Eagle-Eye Cherry'],73,0.707
Lovefool,['The Cardigans'],73,0.636
Insane in the Brain,['Cypress Hill'],73,0.612
Cryin',['Aerosmith'],73,0.856
Fields Of Gold,['Sting'],73,0.339
