name,artists,popularity,danceability
Clavado En Un Bar,['Maná'],74,0.634
Breakfast At Tiffany's,['Deep Blue Something'],74,0.622
Return of the Mack,['Mark Morrison'],74,0.715
Down Under,['Men At Work'],74,0.746
I Have Nothing,['Whitney Houston'],74,0.541
The Unforgiven,['Metallica'],74,0.54
Desvelado,['Bobby Pulido'],74,0.676
Always Be My Baby,['Mariah Carey'],74,0.65
High and Dry,['Radiohead'],74,0.419
Give It Away,['Red Hot Chili Peppers'],74,0.666
Buddy Holly,['Weezer'],74,0.556
Do For Love,['2Pac'],74,0.874
Sabotage,['Beastie Boys'],74,0.324
Kiss from a Rose,['Seal'],74,0.584
All That She Wants,['Ace of Base'],74,0.798
Ordinary World,['Duran Duran'],74,0.472
Everybody (Backstreet's Back) - Radio Edit,['Backstreet Boys'],74,0.731
Man! I Feel Like A Woman!,['Shania Twain'],74,0.657
La flaca,['Jarabe De Palo'],74,0.871
Angels,['Robbie Williams'],74,0.429
Don't Speak,['No Doubt'],74,0.522
What I Got,['Sublime'],74,0.804
No Surprises,['Radiohead'],73,0.255
California Love - Original Version,"['2Pac', 'Roger', 'Dr. Dre']",73,0.763
Symphony Of Destruction,['Megadeth'],73,0.61
Tatuajes,['Joan Sebastian'],73,0.8
Hallelujah,['Jeff Buckley'],73,0.324
Learning To Fly,['Tom Petty and the Heartbreakers'],73,0.651
Jeremy,['Pearl Jam'],73,0.285
Shiny Happy People,['R.E.M.'],73,0.452
Lithium,['Nirvana'],73,0.678
Whiskey In The Jar,['Metallica'],73,0.511
One Week,['Barenaked Ladies'],73,0.702
Amor Prohibido,['Selena'],73,0.681
Why Don't You Get A Job,['The Offspring'],73,0.766
Ready or Not,"['Fugees', 'Ms. Lauryn Hill', 'Wyclef Jean', 'Pras']",73,0.607
Save Tonight,['Eagle-Eye Cherry'],73,0.547
Lovefool,['The Cardigans'],73,0.704
Insane in the Brain,['Cypress Hill'],73,0.897
Cryin',['Aerosmith'],73,0.445
Fields Of Gold,['Sting'],73,0.651
The Beautiful People,['Marilyn Manson'],73,0.621
Interstate Love Song - 2019 Remaster,['Stone Temple Pilots'],73,0.215
La Media Vuelta,['Luis Miguel'],73,0.631
Coco Jamboo,['Mr. President'],73,0.832
Barbie Girl,['Aqua'],73,0.812
Dear Mama,['2Pac'],73,0.773
"Love Is All Around - From ""Four Weddings And A Funeral""",['Wet Wet Wet'],73,0.523
Du hast,['Rammstein'],73,0.64
De Música Ligera - Remasterizado 2007,['Soda Stereo'],73,0.536
I'll Stand by You,"['Pretenders', 'Bob Clearmountain']",73,0.438
Amiga mía,['Alejandro Sanz'],73,0.629
Freed From Desire,['Gala'],73,0.704
Fantasy,['Mariah Carey'],73,0.669
Bullet With Butterfly Wings - Remastered 2012,['The Smashing Pumpkins'],73,0.404
Streets of Philadelphia - Single Edit,['Bruce Springsteen'],73,0.741
