name,artists,popularity,valence
Clavado En Un Bar,['Maná'],74,0.564
Breakfast At Tiffany's,['Deep Blue Something'],74,0.539
Return of the Mack,['Mark Morrison'],74,0.612
Down Under,['Men At Work'],74,0.891
I Have Nothing,['Whitney Houston'],74,0.24
The Unforgiven,['Metallica'],74,0.244
Desvelado,['Bobby Pulido'],74,0.899
Always Be My Baby,['Mariah Carey'],74,0.487
High and Dry,['Radiohead'],74,0.35
Give It Away,['Red Hot Chili Peppers'],74,0.776
Buddy Holly,['Weezer'],74,0.771
Do For Love,['2Pac'],74,0.717
Sabotage,['Beastie Boys'],74,0.543
Kiss from a Rose,['Seal'],74,0.224
All That She Wants,['Ace of Base'],74,0.858
Ordinary World,['Duran Duran'],74,0.401
Everybody (Backstreet's Back) - Radio Edit,['Backstreet Boys'],74,0.605
Man! I Feel Like A Woman!,['Shania Twain'],74,0.674
La flaca,['Jarabe De Palo'],74,0.664
Angels,['Robbie Williams'],74,0.236
Don't Speak,['No Doubt'],74,0.572
What I Got,['Sublime'],74,0.657
No Surprises,['Radiohead'],73,0.118
California Love - Original Version,"['2Pac', 'Roger', 'Dr. Dre']",73,0.761
Symphony Of Destruction,['Megadeth'],73,0.51
Tatuajes,['Joan Sebastian'],73,0.87
Hallelujah,['Jeff Buckley'],73,0.0831
Learning To Fly,['Tom Petty and the Heartbreakers'],73,0.949
Jeremy,['Pearl Jam'],73,0.287
Shiny Happy People,['R.E.M.'],73,0.805
Lithium,['Nirvana'],73,0.485
Whiskey In The Jar,['Metallica'],73,0.566
One Week,['Barenaked Ladies'],73,0.731
Amor Prohibido,['Selena'],73,0.705
Why Don't You Get A Job,['The Offspring'],73,0.544
Ready or Not,"['Fugees', 'Ms. Lauryn Hill', 'Wyclef Jean', 'Pras']",73,0.563
Save Tonight,['Eagle-Eye Cherry'],73,0.654
Lovefool,['The Cardigans'],73,0.89
Insane in the Brain,['Cypress Hill'],73,0.767
Cryin',['Aerosmith'],73,0.486
Fields Of Gold,['Sting'],73,0.32
The Beautiful People,['Marilyn Manson'],73,0.937
Interstate Love Song - 2019 Remaster,['Stone Temple Pilots'],73,0.49
La Media Vuelta,['Luis Miguel'],73,0.708
Coco Jamboo,['Mr. President'],73,0.965
Barbie Girl,['Aqua'],73,0.962
Dear Mama,['2Pac'],73,0.322
"Love Is All Around - From ""Four Weddings And A Funeral""",['Wet Wet Wet'],73,0.547
Du hast,['Rammstein'],73,0.716
De Música Ligera - Remasterizado 2007,['Soda Stereo'],73,0.796
I'll Stand by You,"['Pretenders', 'Bob Clearmountain']",73,0.266
Amiga mía,['Alejandro Sanz'],73,0.402
Freed From Desire,['Gala'],73,0.636
Fantasy,['Mariah Carey'],73,0.807
Bullet With Butterfly Wings - Remastered 2012,['The Smashing Pumpkins'],73,0.475
Streets of Philadelphia - Single Edit,['Bruce Springsteen'],73,0.443
Push The Feeling On - Mk Dub Revisited Edit,"['Nightcrawlers', 'MK']",73,0.833
"Danger Zone - From ""Top Gun"" Original Soundtrack",['Kenny Loggins'],73,0.647
En El Muelle De San Blas,['Maná'],73,0.698
Hit 'Em Up - Single Version,"['2Pac', 'Outlawz']",73,0.586
Waterfalls,['TLC'],73,0.757
Alright,['Supergrass'],73,0.701
Fly Away,['Lenny Kravitz'],72,0.735
Chattahoochee,['Alan Jackson'],72,0.819
Gettin' Jiggy Wit It,['Will Smith'],72,0.858
Every Time You Go Away - Radio Edit,['Paul Young'],72,0.844
End Of The Road,['Boyz II Men'],72,0.529
Two Princes,['Spin Doctors'],72,0.836
Walking in Memphis,['Marc Cohn'],72,0.334
Ode To My Family,['The Cranberries'],72,0.139
Check Yo Self - Remix,"['Ice Cube', 'Das EFX']",72,0.768
Cotton Eye Joe,['Rednex'],72,0.598
Hero,['Mariah Carey'],72,0.178
Rayando El Sol,['Maná'],72,0.499
"What Is Love - 7"" Mix",['Haddaway'],72,0.737
They Don't Care About Us,['Michael Jackson'],72,0.731
Would?,['Alice In Chains'],72,0.586
Harvest Moon,['Neil Young'],72,0.407
Cowboys from Hell,['Pantera'],72,0.437
Piensa En Mí,['Grupo Mojado'],72,0.805
Tengo Todo Excepto a Ti,['Luis Miguel'],72,0.417
Can I Kick It?,['A Tribe Called Quest'],72,0.744
Don't Look Back in Anger - Remastered,['Oasis'],72,0.326
Push,['Matchbox Twenty'],72,0.476
